,日付,カテゴリーコード,カテゴリー名称,市場コード,市場名称,数量
29,2021/08/10,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,205575.1065
32,2021/08/11,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,178379.1987
35,2021/08/12,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,211355.5764
38,2021/08/13,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,222448.0011
41,2021/08/14,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,185346.0772
44,2021/08/15,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,214143.3717
47,2021/08/16,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,174447.8871
50,2021/08/17,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,159809.7588
53,2021/08/18,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,164097.9271
56,2021/08/19,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,167401.5391
59,2021/08/20,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,161651.7659
62,2021/08/21,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,196764.4828
65,2021/08/22,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,170932.9572
68,2021/08/23,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,183618.7257
71,2021/08/24,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,167954.1054
74,2021/08/25,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,173551.2744
77,2021/08/26,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,156989.4039
80,2021/08/27,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,167769.3107
83,2021/08/28,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,195999.6565
86,2021/08/29,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,179406.5465
89,2021/08/30,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,179417.4711
92,2021/08/31,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,171635.1683
95,2021/09/01,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,164710.3317
98,2021/09/02,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,145848.4647
101,2021/09/03,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,160296.1278
104,2021/09/04,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,198359.7178
107,2021/09/05,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,177648.736
110,2021/09/06,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,170031.541
113,2021/09/07,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,159859.2919
116,2021/09/08,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,149674.1238
119,2021/09/09,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,147478.8239
122,2021/09/10,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,164393.3994
125,2021/09/11,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,200687.047
128,2021/09/12,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,172085.7271
131,2021/09/13,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,166290.9428
134,2021/09/14,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,150570.3179
137,2021/09/15,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,187938.208
140,2021/09/16,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,169238.8265
143,2021/09/17,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,146716.7006
146,2021/09/18,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,217271.8291
149,2021/09/19,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,194559.7234
152,2021/09/20,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,200358.2207
155,2021/09/21,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,172971.421
158,2021/09/22,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,157603.9959
161,2021/09/23,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,166704.249
164,2021/09/24,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,158126.6156
167,2021/09/25,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,188987.554
170,2021/09/26,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,172478.846
173,2021/09/27,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,165887.901
176,2021/09/28,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,151746.0989
179,2021/09/29,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,143840.6769
182,2021/09/30,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,142637.8794
2,2021/10/01,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,157407.4545
5,2021/10/02,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,185674.9894
8,2021/10/03,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,179620.2617
11,2021/10/04,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,165864.328
14,2021/10/05,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,162190.1969
17,2021/10/06,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,143970.6025
20,2021/10/07,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,147531.1901
23,2021/10/08,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,159452.3607
26,2021/10/09,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,198171.1747
29,2021/10/10,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,175564.6402
32,2021/10/11,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,166437.7465
35,2021/10/12,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,157408.7681
38,2021/10/13,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,143832.5068
41,2021/10/14,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,144516.1335
44,2021/10/15,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,183948.9314
47,2021/10/16,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,183061.9358
50,2021/10/17,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,171854.8032
53,2021/10/18,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,164699.4384
56,2021/10/19,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,152493.2548
59,2021/10/20,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,141742.9283
62,2021/10/21,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,141094.6998
65,2021/10/22,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,149652.6458
68,2021/10/23,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,185567.4734
71,2021/10/24,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,168582.5171
74,2021/10/25,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,174325.9595
