,日付,カテゴリーコード,カテゴリー名称,市場コード,市場名称,数量
27,2021/8/10,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,411112.4416
30,2021/8/11,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,365467.1004
33,2021/8/12,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,421103.3403
36,2021/8/13,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,419770.1976
39,2021/8/14,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,355445.7198
42,2021/8/15,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,444434.9065
45,2021/8/16,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,391925.2564
48,2021/8/17,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,357648.464
51,2021/8/18,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,361261.022
54,2021/8/19,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,352484.1567
57,2021/8/20,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,341986.3222
60,2021/8/21,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,408708.0143
63,2021/8/22,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,380851.7884
66,2021/8/23,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,410426.2719
69,2021/8/24,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,371000.6557
72,2021/8/25,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,377858.4998
75,2021/8/26,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,336999.4112
78,2021/8/27,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,347291.9665
81,2021/8/28,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,386453.9255
84,2021/8/29,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,400072.7573
87,2021/8/30,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,390250.5646
90,2021/8/31,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,366026.986
93,2021/9/1,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,379971.0005
96,2021/9/2,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,315140.9404
99,2021/9/3,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,339108.1027
102,2021/9/4,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,403192.833
105,2021/9/5,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,394679.2008
108,2021/9/6,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,385947.0502
111,2021/9/7,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,360635.1246
114,2021/9/8,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,324448.8464
117,2021/9/9,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,313665.3643
120,2021/9/10,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,359811.1766
123,2021/9/11,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,416979.9669
126,2021/9/12,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,396111.1128
129,2021/9/13,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,394904.4801
132,2021/9/14,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,344206.2582
135,2021/9/15,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,427894.6794
138,2021/9/16,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,364413.7401
141,2021/9/17,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,299954.44
144,2021/9/18,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,409267.8233
147,2021/9/19,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,371007.1473
150,2021/9/20,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,391038.0299
153,2021/9/21,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,376780.409
156,2021/9/22,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,327403.9338
159,2021/9/23,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,323133.6217
162,2021/9/24,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,352640.2324
165,2021/9/25,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,398720.3174
168,2021/9/26,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,377220.9162
171,2021/9/27,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,390485.1226
174,2021/9/28,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,350609.3182
177,2021/9/29,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,320068.4415
180,2021/9/30,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,321233.8719
0,2021/10/1,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,360491.6708
3,2021/10/2,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,372417.3468
6,2021/10/3,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,387781.69
9,2021/10/4,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,369944.7171
12,2021/10/5,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,357666.0361
15,2021/10/6,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,307377.5742
18,2021/10/7,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,312465.3552
21,2021/10/8,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,332364.8574
24,2021/10/9,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,373972.4657
27,2021/10/10,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,374040.0522
30,2021/10/11,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,368519.5262
